,user,favorite_count,retweet_count
0,4196983835,39334,8786
1,4196983835,33671,6439
2,4196983835,25363,4270
3,4196983835,42708,8877
4,4196983835,40850,9654
5,4196983835,20481,3215
6,4196983835,12024,2128
7,4196983835,66438,19446
8,4196983835,28108,4368
9,4196983835,32356,7621
10,4196983835,31003,7531
11,4196983835,28122,5087
12,4196983835,38587,8451
13,4196983835,27522,4667
14,4196983835,15287,2292
15,4196983835,25632,5588
16,4196983835,29457,4646
17,4196983835,25923,4498
18,4196983835,20197,3698
19,4196983835,22068,3611
20,4196983835,30599,5549
21,4196983835,46776,11983
22,4196983835,70061,18765
23,4196983835,34098,10660
24,4196983835,30944,6114
25,4196983835,35648,7984
26,4196983835,12241,3390
27,4196983835,22713,4582
28,4196983835,21411,3273
29,4196983835,117,4
30,4196983835,28340,6463
31,4196983835,0,106
32,4196983835,33157,7005
33,4196983835,36478,6607
34,4196983835,20674,3861
35,4196983835,0,19101
36,4196983835,22222,4500
37,4196983835,78662,19039
38,4196983835,28343,6010
39,4196983835,24644,5059
40,4196983835,27349,5811
41,4196983835,73913,20994
42,4196983835,20658,3081
43,4196983835,22180,3543
44,4196983835,46559,10284
45,4196983835,22842,3784
46,4196983835,37693,6862
47,4196983835,24283,4062
48,4196983835,28709,5061
49,4196983835,28248,6267
50,4196983835,45588,11942
51,4196983835,29753,5137
52,4196983835,24626,3501
53,4196983835,51232,10980
54,4196983835,129,7
55,4196983835,50105,16463
56,4196983835,23384,5306
57,4196983835,17221,2859
58,4196983835,21603,3931
59,4196983835,28890,6461
60,4196983835,27444,4375
61,4196983835,27976,4476
62,4196983835,22565,3605
63,4196983835,315,10
64,4196983835,23695,3285
65,4196983835,107407,45461
66,4196983835,16994,3215
67,4196983835,0,7085
68,4196983835,22898,4866
69,4196983835,19211,2782
70,4196983835,19614,4254
71,4196983835,30707,7475
72,4196983835,0,1334
73,4196983835,0,6881
74,4196983835,7867,1334
75,4196983835,42598,7085
76,4196983835,81167,19819
77,4196983835,0,82
78,4196983835,23094,3950
79,4196983835,27740,5352
80,4196983835,27554,5789
81,4196983835,20979,3477
82,4196983835,23711,4751
83,4196983835,19024,2487
84,4196983835,28286,4846
85,4196983835,25596,4452
86,4196983835,22268,5084
87,4196983835,27810,6266
88,4196983835,25856,4864
89,4196983835,28272,4801
90,4196983835,0,15346
91,4196983835,26469,4255
92,4196983835,22997,4095
93,4196983835,35245,10852
94,4196983835,24651,4087
95,4196983835,0,1645
96,4196983835,7404,1645
97,4196983835,27814,5605
98,4196983835,14945,3839
99,4196983835,0,31
100,4196983835,21171,3857
101,4196983835,41295,9309
102,4196983835,34832,6575
103,4196983835,35085,8435
104,4196983835,38819,11724
105,4196983835,20639,3625
106,4196983835,20603,3593
107,4196983835,0,5929
108,4196983835,21339,5697
109,4196983835,23092,3953
110,4196983835,33586,6314
111,4196983835,120,3
112,4196983835,12722,2771
113,4196983835,84420,27355
114,4196983835,22298,4331
115,4196983835,37498,8722
116,4196983835,43393,10517
117,4196983835,28896,6627
118,4196983835,16358,3279
119,4196983835,20964,3982
120,4196983835,66446,15088
121,4196983835,0,2203
122,4196983835,28084,6201
123,4196983835,10456,2203
124,4196983835,24804,4386
125,4196983835,34916,7702
126,4196983835,16620,2656
127,4196983835,0,133
128,4196983835,33153,8322
129,4196983835,0,32549
130,4196983835,20725,5104
131,4196983835,19926,3688
132,4196983835,106131,32549
133,4196983835,54258,15346
134,4196983835,0,8828
135,4196983835,26433,5935
136,4196983835,27315,5296
137,4196983835,28867,8112
138,4196983835,33411,9260
139,4196983835,15084,3232
140,4196983835,31214,9494
141,4196983835,21311,4391
142,4196983835,15819,4439
143,4196983835,0,2642
144,4196983835,24626,5593
145,4196983835,2340,105
146,4196983835,9051,1182
147,4196983835,8869,2642
148,4196983835,19889,5390
149,4196983835,17668,3754
150,4196983835,21315,5303
151,4196983835,77489,24836
152,4196983835,37461,11394
153,4196983835,17865,4437
154,4196983835,17371,4062
155,4196983835,0,2297
